name,release_date,developer,publisher,steamspy_tags,positive_ratings,negative_ratings,price
Deus Ex: Invisible War,29/03/2007,Ion Storm,Square Enix,"Cyberpunk,Action,FPS",649,433,499
Thief: Deadly Shadows,29/03/2007,Ion Storm,Square Enix,"Stealth,Atmospheric,Action",1135,210,699
Tomb Raider: Legend,29/03/2007,Crystal Dynamics,Square Enix,"Adventure,Action,Female Protagonist",1656,243,499
Project: Snowblind,29/03/2007,Crystal Dynamics,Square Enix,"Action,FPS,Cyberpunk",175,61,399
Trackmania United Forever Star Edition,16/04/2008,Nadeo,Ubisoft,"Racing,Multiplayer,Level Editor",963,55,2599
Kane and Lynch: Dead Men™,13/12/2007,IO Interactive,Square Enix,"Action,Third-Person Shooter,Crime",1223,724,499
Conflict: Denied Ops,08/02/2008,Pivotal Games,Square Enix,"Action,FPS,Singleplayer",89,103,399
Tomb Raider: Underworld,21/11/2008,Crystal Dynamics,Square Enix,"Adventure,Action,Female Protagonist",1779,594,699
Battlestations Pacific,13/05/2009,Eidos Studio Hungary,Square Enix,"World War II,Strategy,Action",1028,542,699
Just Cause 2,23/03/2010,Avalanche Studios,Square Enix,"Open World,Action,Sandbox",33636,3231,999
Geometry Wars: Retro Evolved,18/06/2007,Bizarre Creations,Activision,"Arcade,Twin Stick Shooter,Casual",583,62,299
Warhammer® 40000: Dawn of War® – Winter Assault,07/08/2007,Relic Entertainment,SEGA,"Strategy,Warhammer 40K,RTS",606,76,999
Company of Heroes: Opposing Fronts,24/09/2007,Relic Entertainment,SEGA,"Strategy,RTS,Action",579,52,999
Supreme Commander,28/09/2011,Gas Powered Games,Square Enix,"Strategy,RTS,Sci-fi",1065,162,899
Supreme Commander: Forged Alliance,28/09/2011,Gas Powered Games,Square Enix,"Strategy,RTS,Sci-fi",4969,174,899
Warhammer® 40000: Dawn of War® - Soulstorm,07/03/2008,Relic Entertainment,SEGA,"Warhammer 40K,Strategy,RTS",4887,286,999
Call of Duty: World at War,18/11/2008,Treyarch,Activision,"Zombies,World War II,FPS",19595,1483,1999
King's Quest™ Collection,23/07/2009,Sierra,Activision,"Adventure,Point & Click,Classic",125,32,1499
Space Quest™ Collection,23/07/2009,Sierra,Activision,"Adventure,Point & Click,Classic",143,42,999
Aces of the Galaxy™,23/07/2009,Artech Studios,Activision,"Action,Casual,Space",14,16,699
TimeShift™,23/07/2009,Saber Interactive,Activision,"Action,FPS,Time Manipulation",623,159,999
3D Ultra™ Minigolf Adventures,23/07/2009,Wanako Games,Activision,"Sports,Mini Golf,Golf",50,28,699
Prototype™,12/06/2009,Radical Entertainment,Activision,"Action,Open World,Adventure",3702,904,1499
The Club™,20/02/2008,Bizarre Creations,SEGA,"Action,Third-Person Shooter,Arcade",47,50,999
Aliens vs. Predator™,16/02/2010,Rebellion,SEGA,"Action,FPS,Aliens",9448,1186,999
TrackMania Nations Forever,16/04/2008,Nadeo,Ubisoft,"Racing,Free to Play,Multiplayer",8252,1244,0
Grand Theft Auto III,04/01/2008,Rockstar Games,Rockstar Games,"Open World,Action,Classic",4718,750,599
Grand Theft Auto: Vice City,10/01/2011,Rockstar Games,Rockstar Games,"Open World,Action,1980s",9817,819,599
Grand Theft Auto: San Andreas,04/01/2008,Rockstar Games,Rockstar Games,"Open World,Action,Multiplayer",26877,3243,999
Manhunt,04/01/2008,Rockstar North,Rockstar Games,"Gore,Violent,Stealth",816,433,599
Max Payne,04/01/2008,Remedy Entertainment,Rockstar Games,"Noir,Action,Classic",3926,435,599
Max Payne 2: The Fall of Max Payne,04/01/2008,Remedy Entertainment,Rockstar Games,"Noir,Action,Third-Person Shooter",2506,172,599
Grand Theft Auto,04/01/2008,Rockstar North,Rockstar Games,"Action,Classic,Open World",199,30,0
Grand Theft Auto 2,04/01/2008,Rockstar North,Rockstar Games,"Action,Classic,Open World",184,17,0
Bully: Scholarship Edition,21/10/2008,Rockstar New England,Rockstar Games,"Open World,Action,Adventure",8504,1764,999
Grand Theft Auto IV,02/12/2008,"Rockstar North,Rockstar Toronto",Rockstar Games,"Open World,Action,Bowling",35240,18926,1999
Grand Theft Auto: Episodes from Liberty City,12/04/2010,Rockstar North / Toronto,Rockstar Games,"Open World,Action,Multiplayer",6401,2345,1499
Prince of Persia: Warrior Within™,27/08/2009,Ubisoft,Ubisoft,"Action,Adventure,Parkour",657,101,859
Far Cry®,01/04/2008,Crytek Studios,Ubisoft,"FPS,Action,Classic",3099,609,859
Prince of Persia: The Two Thrones™,27/08/2009,Ubisoft Montreal,Ubisoft,"Action,Adventure,Platformer",365,109,859
Tom Clancy's Rainbow Six® Vegas,09/04/2008,Ubisoft Montreal,Ubisoft,"Action,FPS,Tactical",371,106,859
Tom Clancy's Splinter Cell®,01/04/2008,Ubisoft,Ubisoft,"Stealth,Action,Third Person",900,147,429
